"","FLIGHTNUMBER","Date","Time","LATITUDE","LONGITUDE","SPECIES","GROUPSIZE"
"819",1,"24-Jul-08","1:07:23 PM",55.837749,-165.53432,"BP - Fin Whale",1
"1091",1,"24-Jul-08","1:29:11 PM",56.044683,-165.73192,"BP - Fin Whale",2
"1348",1,"24-Jul-08","1:50:10 PM",56.252121,-166.25988,"BP - Fin Whale",2
"1479",1,"24-Jul-08","2:00:43 PM",56.195313,-166.24251,"BP - Fin Whale",2
"1656",1,"24-Jul-08","2:14:54 PM",56.246833,-166.29525,"BP - Fin Whale",1
"1684",1,"24-Jul-08","2:17:03 PM",56.227742,-166.39396,"BP - Fin Whale",2
"1748",1,"24-Jul-08","2:22:10 PM",56.187144,-166.58559,"BP - Fin Whale",2
"1854",1,"24-Jul-08","2:30:46 PM",56.152848,-166.53439,"BP - Fin Whale",1
"2137",1,"24-Jul-08","2:53:13 PM",56.345263,-166.71977,"BP - Fin Whale",1
"2942",2,"24-Jul-08","6:37:06 PM",54.600776,-165.27613,"MN - Humpback Whale",2
"2951",2,"24-Jul-08","6:37:42 PM",54.610794,-165.29336,"MN - Humpback Whale",3
"2983",2,"24-Jul-08","6:40:07 PM",54.601514,-165.30782,"MN - Humpback Whale",1
"2995",2,"24-Jul-08","6:41:01 PM",54.601273,-165.35504,"MN - Humpback Whale",6
"2996",2,"24-Jul-08","6:41:02 PM",54.601321,-165.35591,"MN - Humpback Whale",3
"3022",2,"24-Jul-08","6:43:07 PM",54.598341,-165.46302,"MN - Humpback Whale",2
"3036",2,"24-Jul-08","6:44:08 PM",54.596433,-165.51314,"MN - Humpback Whale",1
"3065",2,"24-Jul-08","6:46:17 PM",54.624044,-165.47734,"MN - Humpback Whale",2
"3074",2,"24-Jul-08","6:46:56 PM",54.614857,-165.5007,"MN - Humpback Whale",1
"3096",2,"24-Jul-08","6:48:31 PM",54.599991,-165.57595,"MN - Humpback Whale",2
"3102",2,"24-Jul-08","6:48:56 PM",54.599663,-165.59792,"MN - Humpback Whale",2
"3104",2,"24-Jul-08","6:48:59 PM",54.599666,-165.60057,"MN - Humpback Whale",1
"3113",2,"24-Jul-08","6:49:39 PM",54.600462,-165.63508,"MN - Humpback Whale",1
"3114",2,"24-Jul-08","6:49:43 PM",54.600593,-165.6385,"MN - Humpback Whale",35
"3139",2,"24-Jul-08","6:51:42 PM",54.570185,-165.71138,"MN - Humpback Whale",1
"3240",2,"24-Jul-08","6:59:47 PM",54.599292,-165.69232,"MN - Humpback Whale",3
"3269",2,"24-Jul-08","7:01:55 PM",54.59672,-165.80508,"MN - Humpback Whale",1
"3286",2,"24-Jul-08","7:03:17 PM",54.595551,-165.88078,"MN - Humpback Whale",1
"3298",2,"24-Jul-08","7:04:13 PM",54.595683,-165.92994,"MN - Humpback Whale",1
"3308",2,"24-Jul-08","7:05:01 PM",54.595939,-165.97138,"OO - Killer Whale",8
"3320",2,"24-Jul-08","7:05:58 PM",54.596359,-166.01923,"MN - Humpback Whale",2
"3562",2,"24-Jul-08","7:26:03 PM",54.584423,-167.0661,"MN - Humpback Whale",1
"4008",2,"24-Jul-08","8:02:22 PM",54.323684,-167.5175,"MN - Humpback Whale",1
"4514",2,"24-Jul-08","8:43:22 PM",54.348348,-165.48831,"MN - Humpback Whale",1
"4536",2,"24-Jul-08","8:45:01 PM",54.335389,-165.40679,"MN - Humpback Whale",4
"4549",2,"24-Jul-08","8:45:57 PM",54.321463,-165.45212,"MN - Humpback Whale",1
"4551",2,"24-Jul-08","8:46:00 PM",54.321112,-165.45498,"MN - Humpback Whale",1
"4621",2,"24-Jul-08","8:51:37 PM",54.254863,-165.75654,"MN - Humpback Whale",2
"4658",2,"24-Jul-08","8:54:33 PM",54.233123,-165.92912,"MN - Humpback Whale",1
"4717",2,"24-Jul-08","8:59:22 PM",54.130596,-166.12,"EL - Sea Otter",1
